gbifID,scientificName,decimalLatitude,decimalLongitude,elevation,depth,present
4173460384,Ciona intestinalis (Linnaeus; 1767),61.317948,5.151766,,17.0,1
4173443107,Ciona intestinalis (Linnaeus; 1767),61.228677,7.106249,,0.0,1
4165262547,Ciona intestinalis (Linnaeus; 1767),56.010017,-5.369133,,10.0,1
4165262419,Ciona intestinalis (Linnaeus; 1767),56.010017,-5.369133,,30.0,1
4149565877,Ciona intestinalis (Linnaeus; 1767),47.5628,-2.84902,,17.5,1
4149565559,Ciona intestinalis (Linnaeus; 1767),43.2631,5.28799,,15.0,1
4149553923,Ciona intestinalis (Linnaeus; 1767),43.02818,6.0978,,31.0,1
4149553807,Ciona intestinalis (Linnaeus; 1767),48.65266,-2.7888,,17.0,1
4149552240,Ciona intestinalis (Linnaeus; 1767),47.5485,-2.92017,,23.0,1
4149552130,Ciona intestinalis (Linnaeus; 1767),51.04325,2.36981,,9.0,1
4149549305,Ciona intestinalis (Linnaeus; 1767),48.60164,-4.56533,,19.0,1
4149545229,Ciona intestinalis (Linnaeus; 1767),49.48892,0.11775,,7.0,1
4149545059,Ciona intestinalis (Linnaeus; 1767),42.44133,3.17672,,22.0,1
4149544553,Ciona intestinalis (Linnaeus; 1767),43.20778,5.33861,,27.0,1
4149538333,Ciona intestinalis (Linnaeus; 1767),42.46998,8.649,,30.0,1
4149537300,Ciona intestinalis (Linnaeus; 1767),50.77861,1.49417,,33.0,1
4149536986,Ciona intestinalis (Linnaeus; 1767),43.4064,6.77364,,27.0,1
4149536830,Ciona intestinalis (Linnaeus; 1767),49.49007,0.1118,,7.0,1
4149536779,Ciona intestinalis (Linnaeus; 1767),49.48892,0.11775,,6.0,1
4149534954,Ciona intestinalis (Linnaeus; 1767),48.6278,-2.02725,,16.2,1
4149533230,Ciona intestinalis (Linnaeus; 1767),48.64167,-2.535,,20.0,1
4149533030,Ciona intestinalis (Linnaeus; 1767),49.48892,0.11775,,7.0,1
4149528147,Ciona intestinalis (Linnaeus; 1767),48.60164,-4.56533,,18.0,1
4149524592,Ciona intestinalis (Linnaeus; 1767),50.77861,1.49417,,34.0,1
4149524363,Ciona intestinalis (Linnaeus; 1767),47.6714,-3.2083,,15.8,1
4149521677,Ciona intestinalis (Linnaeus; 1767),51.04325,2.36981,,9.0,1
4149520735,Ciona intestinalis (Linnaeus; 1767),47.66122,-3.21095,,18.0,1
4149427651,Ciona intestinalis (Linnaeus; 1767),48.30556,-4.58083,,18.0,1
4149417716,Ciona intestinalis (Linnaeus; 1767),47.67758,-3.52722,,33.0,1
4149417331,Ciona intestinalis (Linnaeus; 1767),51.04325,2.36981,,8.0,1
4149414999,Ciona intestinalis (Linnaeus; 1767),47.66271,-3.20879,,18.3,1
4149404021,Ciona intestinalis (Linnaeus; 1767),51.04325,2.36981,,9.0,1
4149385486,Ciona intestinalis (Linnaeus; 1767),51.04325,2.36981,,8.2,1
4149382001,Ciona intestinalis (Linnaeus; 1767),51.04325,2.36981,,9.0,1
4149381624,Ciona intestinalis (Linnaeus; 1767),43.52578,7.03623,,38.0,1
4149372569,Ciona intestinalis (Linnaeus; 1767),51.04325,2.36981,,9.0,1
4149372421,Ciona intestinalis (Linnaeus; 1767),51.04325,2.36981,,6.0,1
4149367480,Ciona intestinalis (Linnaeus; 1767),51.04325,2.36981,,8.0,1
4149363953,Ciona intestinalis (Linnaeus; 1767),49.48892,0.11775,,5.0,1
4149357338,Ciona intestinalis (Linnaeus; 1767),51.04325,2.36981,,8.5,1
4149347539,Ciona intestinalis (Linnaeus; 1767),43.17693,5.37009,,27.0,1
