gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1896916869,d6cc311c-c5ab-4f23-9a20-10514f9eb9c4,urn:USGS:NAS:168350,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,Lankester; 1880,US,Laurel Lake; Corbin,Ky,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,36.9407,-84.174156,,,,,,,2005-12-31T00:00:00,31,12,2005,4408321,4408321,OCCURRENCE,,,168350,,,,CC0_1_0,,,,,2023-09-27T16:55:06.761Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_UNPARSABLE
1896916867,d6cc311c-c5ab-4f23-9a20-10514f9eb9c4,urn:USGS:NAS:155160,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,Lankester; 1880,US,Laurel Lake; Corbin,Ky,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,36.9407,-84.174156,,,,,,,1999-12-31T00:00:00,31,12,1999,4408321,4408321,OCCURRENCE,,,155160,,,,CC0_1_0,,,,,2023-09-27T16:52:44.245Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_UNPARSABLE
1896916854,d6cc311c-c5ab-4f23-9a20-10514f9eb9c4,urn:USGS:NAS:156527,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,Lankester; 1880,US,Black Creek Lake near Norton,Va,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,36.936738,-82.687311,,,,,,,1999-12-31T00:00:00,31,12,1999,4408321,4408321,OCCURRENCE,,,156527,,,,CC0_1_0,,,,,2023-09-27T16:55:05.804Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_UNPARSABLE
1896916850,d6cc311c-c5ab-4f23-9a20-10514f9eb9c4,urn:USGS:NAS:155159,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,Lankester; 1880,US,Laurel Lake; Corbin,Ky,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,36.9407,-84.174156,,,,,,,1999-12-31T00:00:00,31,12,1999,4408321,4408321,OCCURRENCE,,,155159,,,,CC0_1_0,,,,,2023-09-27T16:55:05.390Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_UNPARSABLE
1896916721,d6cc311c-c5ab-4f23-9a20-10514f9eb9c4,urn:USGS:NAS:155158,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,Lankester; 1880,US,Lake Cumberland near Monticello,Ky,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,36.905156,-84.873505,,,,,,,1999-12-31T00:00:00,31,12,1999,4408321,4408321,OCCURRENCE,,,155158,,,,CC0_1_0,,,,,2023-09-27T16:55:05.299Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_UNPARSABLE
1896916700,d6cc311c-c5ab-4f23-9a20-10514f9eb9c4,urn:USGS:NAS:168349,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,Lankester; 1880,US,Lake Cumberland near Monticello,Ky,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,36.905156,-84.873505,,,,,,,1999-12-31T00:00:00,31,12,1999,4408321,4408321,OCCURRENCE,,,168349,,,,CC0_1_0,,,,,2023-09-27T16:55:06.609Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_UNPARSABLE
1896916699,d6cc311c-c5ab-4f23-9a20-10514f9eb9c4,urn:USGS:NAS:236114,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,Lankester; 1880,US,Lake Cumberland; Jamestown Marina; Hwy 127,Ky,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,36.9058,-85.0186,,,,,,,1999-12-31T00:00:00,31,12,1999,4408321,4408321,OCCURRENCE,,,236114,,,,CC0_1_0,,,,,2023-09-27T16:55:08.298Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_UNPARSABLE
1896916627,d6cc311c-c5ab-4f23-9a20-10514f9eb9c4,urn:USGS:NAS:155156,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,Lankester; 1880,US,Lake Cumberland River Monticello,Ky,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,36.905156,-84.873161,,,,,,,1999-12-31T00:00:00,31,12,1999,4408321,4408321,OCCURRENCE,,,155156,,,,CC0_1_0,,,,,2023-09-27T16:52:44.220Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_UNPARSABLE
1896916543,d6cc311c-c5ab-4f23-9a20-10514f9eb9c4,urn:USGS:NAS:155157,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,Lankester; 1880,US,Cumberland River (R.M. 460.9) at Lake Cumberland,Ky,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,36.86788,-85.146189,,,,,,,1999-12-31T00:00:00,31,12,1999,4408321,4408321,OCCURRENCE,,,155157,,,,CC0_1_0,,,,,2023-09-27T16:52:44.210Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_UNPARSABLE
1896916400,d6cc311c-c5ab-4f23-9a20-10514f9eb9c4,urn:USGS:NAS:236747,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester; 1880,Craspedacusta sowerbyi,Lankester; 1880,US,San Joaquin River; near Fresno/Madera; Ave 7 and Rd 35,Ca,PRESENT,,c3ad790a-d426-4ac1-8e32-da61f81f0117,36.848582,-119.90778,,,,,,,1999-12-31T00:00:00,31,12,1999,4408321,4408321,OCCURRENCE,,,236747,,,,CC0_1_0,,,,,2023-09-27T16:52:49.324Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;OCCURRENCE_STATUS_UNPARSABLE
